model,mAP50-95,mAP50,Precision,Recall
yolov10m.pt,0.5109875260924013,0.6767429196476608,0.7329164413538908,0.6050608871127144
yolo11m.pt,0.5148892480489153,0.6802094261519335,0.7401595317281346,0.615108811058907
yolo12m.pt,0.526032315300921,0.6922597591626072,0.7362874236241542,0.6339022188094983
